date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:11:51	47229/47229	---MCZ	200	added ('OK')	text/html	etag:W/%225c330e7c-b87d%22	https://mdbootstrap.com/previews/templates/admin-dashboard/html/dashboards/v-1.html	C:/My%20Web%20Sites/xpressmdb/mdbootstrap.com/previews/templates/admin-dashboard/html/dashboards/v-1.html	(from )
03:11:51	131/131	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2011%20Mar%202019%2008:11:53%20GMT	https://mdbootstrap.com/robots.txt		(from )
03:11:52	53592/53592	---MCZ	200	added ('OK')	text/css	etag:W/%22dc93d584e41f8417f6b7163320d34329%22	https://use.fontawesome.com/releases/v5.6.3/css/all.css	C:/My%20Web%20Sites/xpressmdb/use.fontawesome.com/releases/v5.6.3/css/all.css	(from https://mdbootstrap.com/previews/templates/admin-dashboard/html/dashboards/v-1.html)
03:11:52	140936/140936	---MCZ	200	added ('OK')	text/css	etag:W/%225c330db1-22688%22	https://mdbootstrap.com/previews/templates/admin-dashboard/css/bootstrap.min.css	C:/My%20Web%20Sites/xpressmdb/mdbootstrap.com/previews/templates/admin-dashboard/css/bootstrap.min.css	(from https://mdbootstrap.com/previews/templates/admin-dashboard/html/dashboards/v-1.html)
03:11:53	477253/477253	---MCZ	200	added ('OK')	text/css	etag:W/%225c330db2-74845%22	https://mdbootstrap.com/previews/templates/admin-dashboard/css/mdb.min.css	C:/My%20Web%20Sites/xpressmdb/mdbootstrap.com/previews/templates/admin-dashboard/css/mdb.min.css	(from https://mdbootstrap.com/previews/templates/admin-dashboard/html/dashboards/v-1.html)
03:11:53	25090/25090	---M--	200	added ('OK')	image/png	etag:%2259f85a4e-6202%22	https://mdbootstrap.com/img/logo/mdb-transaprent-noshadows.png	C:/My%20Web%20Sites/xpressmdb/mdbootstrap.com/img/logo/mdb-transaprent-noshadows.png	(from https://mdbootstrap.com/previews/templates/admin-dashboard/html/dashboards/v-1.html)
03:11:53	28780/28780	---MCZ	200	added ('OK')	text/html	etag:W/%225c330e7b-706c%22	https://mdbootstrap.com/previews/templates/admin-dashboard/html/dashboards/v-2.html	C:/My%20Web%20Sites/xpressmdb/mdbootstrap.com/previews/templates/admin-dashboard/html/dashboards/v-2.html	(from https://mdbootstrap.com/previews/templates/admin-dashboard/html/dashboards/v-1.html)
03:11:53	28583/28583	---MCZ	200	added ('OK')	text/html	etag:W/%225c330e7b-6fa7%22	https://mdbootstrap.com/previews/templates/admin-dashboard/html/dashboards/v-3.html	C:/My%20Web%20Sites/xpressmdb/mdbootstrap.com/previews/templates/admin-dashboard/html/dashboards/v-3.html	(from https://mdbootstrap.com/previews/templates/admin-dashboard/html/dashboards/v-1.html)
03:11:54	32705/32705	---MCZ	200	added ('OK')	text/html	etag:W/%225c330e7b-7fc1%22	https://mdbootstrap.com/previews/templates/admin-dashboard/html/dashboards/v-4.html	C:/My%20Web%20Sites/xpressmdb/mdbootstrap.com/previews/templates/admin-dashboard/html/dashboards/v-4.html	(from https://mdbootstrap.com/previews/templates/admin-dashboard/html/dashboards/v-1.html)
03:11:54	31490/31490	---MCZ	200	added ('OK')	text/html	etag:W/%225c330e7b-7b02%22	https://mdbootstrap.com/previews/templates/admin-dashboard/html/dashboards/v-5.html	C:/My%20Web%20Sites/xpressmdb/mdbootstrap.com/previews/templates/admin-dashboard/html/dashboards/v-5.html	(from https://mdbootstrap.com/previews/templates/admin-dashboard/html/dashboards/v-1.html)
